year,male,female,unknown,total,,,,,,,,,,,
97,462,214,682,1358,,,,,,,,,,,
98,468,234,658,1360,,,,,,,,,,,
99,424,236,612,1272,,,,,,,,,,,
100,376,252,666,1294,,,,,,,,,,,
101,414,190,522,1126,,,,,,,,,,,
102,332,260,622,1214,,,,,,,,,,,
103,362,226,636,1224,,,,,,,,,,,
104,410,222,616,1248,,,,,,,,,,,
105,394,248,634,1276,,,,,,,,,,,
106,386,260,698,1344,,,,,,,,,,,
107,438,254,678,1370,,,,,,,,,,,
108,424,256,630,1310,,,,,,,,,,,
109,374,230,574,1178,,,,,,,,,,,
110,344,284,686,1314,,,,,,,,,,,
111,402,0,0,402,,,,,,,,,,,
district,male,female,unknown,total,,,,,,,,,,,
Songshan,181,122,303,606,,,,,,,,,,,
Xinyi,236,155,391,782,,,,,,,,,,,
Da'an,245,211,456,912,,,,,,,,,,,
Zhongshan,259,182,441,882,,,,,,,,,,,
Zhongzheng,153,109,262,524,,,,,,,,,,,
Datong,174,79,253,506,,,,,,,,,,,
Wanhua,351,154,505,1010,,,,,,,,,,,
Wenshan,235,183,418,836,,,,,,,,,,,
Nangang,152,77,229,458,,,,,,,,,,,
Neihu,319,164,483,966,,,,,,,,,,,
Shilin,343,195,538,1076,,,,,,,,,,,
Beitou,357,191,548,1096,,,,,,,,,,,
,,,,,,,,,,,,,,,
district,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
Songshan,40,28,50,30,48,34,40,46,34,32,58,34,42,54,36
Xinyi,66,48,46,32,66,54,44,66,34,62,56,64,42,40,62
Da'an,60,62,74,66,64,42,52,42,72,50,90,74,54,56,54
Zhongshan,64,62,68,70,74,42,60,58,70,36,56,64,52,44,62
Zhongzheng,38,40,32,40,16,38,22,38,26,36,46,46,32,28,46
Datong,32,32,40,32,44,22,36,30,36,40,32,34,36,24,36
Wanhua,94,106,60,72,62,56,58,62,68,52,60,70,70,44,76
Wenshan,50,52,58,60,56,60,54,44,60,84,54,50,50,50,54
Nangang,42,32,26,26,42,10,32,36,32,38,26,28,30,28,30
Neihu,76,74,62,48,62,52,72,72,46,54,72,48,90,68,70
Shilin,92,58,66,56,76,60,78,64,52,82,84,72,66,90,80
Beitou,86,88,76,80,56,52,74,78,86,68,64,94,66,48,80
